++++ Test string argument ++++
test: expr toto               , output: 'toto'  , status:  0
test: expr 0 '>=' 5           , output: '0'     , status:  1
test: expr '' '>=' 0          , output: '0'     , status:  1
test: expr '' '>=' ''         , output: '1'     , status:  0
test: expr '' '>=' abcd       , output: '0'     , status:  1
test: expr '' '>=' bcde       , output: '0'     , status:  1
test: expr '' '>=' 42         , output: '0'     , status:  1
test: expr '' '>=' -42        , output: '0'     , status:  1
test: expr '' '>=' 5          , output: '0'     , status:  1
test: expr abcd '>=' 0        , output: '1'     , status:  0
test: expr abcd '>=' ''       , output: '1'     , status:  0
test: expr abcd '>=' abcd     , output: '1'     , status:  0
test: expr abcd '>=' bcde     , output: '0'     , status:  1
test: expr abcd '>=' 42       , output: '1'     , status:  0
test: expr abcd '>=' -42      , output: '1'     , status:  0
test: expr abcd '>=' 5        , output: '1'     , status:  0
test: expr bcde '>=' 0        , output: '1'     , status:  0
test: expr bcde '>=' ''       , output: '1'     , status:  0
test: expr bcde '>=' abcd     , output: '1'     , status:  0
test: expr bcde '>=' bcde     , output: '1'     , status:  0
test: expr bcde '>=' 42       , output: '1'     , status:  0
test: expr bcde '>=' -42      , output: '1'     , status:  0
test: expr bcde '>=' 5        , output: '1'     , status:  0
test: expr 42 '>=' 0          , output: '1'     , status:  0
test: expr 42 '>=' ''         , output: '1'     , status:  0
test: expr 42 '>=' abcd       , output: '0'     , status:  1
test: expr 42 '>=' bcde       , output: '0'     , status:  1
test: expr 42 '>=' 42         , output: '1'     , status:  0
test: expr 42 '>=' -42        , output: '1'     , status:  0
test: expr 42 '>=' 5          , output: '1'     , status:  0
test: expr -42 '>=' 0         , output: '0'     , status:  1
test: expr -42 '>=' ''        , output: '1'     , status:  0
test: expr -42 '>=' abcd      , output: '0'     , status:  1
test: expr -42 '>=' bcde      , output: '0'     , status:  1
test: expr -42 '>=' 42        , output: '0'     , status:  1
test: expr -42 '>=' -42       , output: '1'     , status:  0
test: expr -42 '>=' 5         , output: '0'     , status:  1
test: expr 5 '>=' 0           , output: '1'     , status:  0
test: expr 5 '>=' ''          , output: '1'     , status:  0
test: expr 5 '>=' abcd        , output: '0'     , status:  1
test: expr 5 '>=' bcde        , output: '0'     , status:  1
test: expr 5 '>=' 42          , output: '0'     , status:  1
test: expr 5 '>=' -42         , output: '1'     , status:  0
test: expr 5 '>=' 5           , output: '1'     , status:  0

++++ Test > operator ++++
test: expr 0 '>' 0            , output: '0'     , status:  1
test: expr 0 '>' ''           , output: '1'     , status:  0
test: expr 0 '>' abcd         , output: '0'     , status:  1
test: expr 0 '>' bcde         , output: '0'     , status:  1
test: expr 0 '>' 42           , output: '0'     , status:  1
test: expr 0 '>' -42          , output: '1'     , status:  0
test: expr 0 '>' 5            , output: '0'     , status:  1
test: expr '' '>' 0           , output: '0'     , status:  1
test: expr '' '>' ''          , output: '0'     , status:  1
test: expr '' '>' abcd        , output: '0'     , status:  1
test: expr '' '>' bcde        , output: '0'     , status:  1
test: expr '' '>' 42          , output: '0'     , status:  1
test: expr '' '>' -42         , output: '0'     , status:  1
test: expr '' '>' 5           , output: '0'     , status:  1
test: expr abcd '>' 0         , output: '1'     , status:  0
test: expr abcd '>' ''        , output: '1'     , status:  0
test: expr abcd '>' abcd      , output: '0'     , status:  1
test: expr abcd '>' bcde      , output: '0'     , status:  1
test: expr abcd '>' 42        , output: '1'     , status:  0
test: expr abcd '>' -42       , output: '1'     , status:  0
test: expr abcd '>' 5         , output: '1'     , status:  0
test: expr bcde '>' 0         , output: '1'     , status:  0
test: expr bcde '>' ''        , output: '1'     , status:  0
test: expr bcde '>' abcd      , output: '1'     , status:  0
test: expr bcde '>' bcde      , output: '0'     , status:  1
test: expr bcde '>' 42        , output: '1'     , status:  0
test: expr bcde '>' -42       , output: '1'     , status:  0
test: expr bcde '>' 5         , output: '1'     , status:  0
test: expr 42 '>' 0           , output: '1'     , status:  0
test: expr 42 '>' ''          , output: '1'     , status:  0
test: expr 42 '>' abcd        , output: '0'     , status:  1
test: expr 42 '>' bcde        , output: '0'     , status:  1
test: expr 42 '>' 42          , output: '0'     , status:  1
test: expr 42 '>' -42         , output: '1'     , status:  0
test: expr 42 '>' 5           , output: '1'     , status:  0
test: expr -42 '>' 0          , output: '0'     , status:  1
test: expr -42 '>' ''         , output: '1'     , status:  0
test: expr -42 '>' abcd       , output: '0'     , status:  1
test: expr -42 '>' bcde       , output: '0'     , status:  1
test: expr -42 '>' 42         , output: '0'     , status:  1
test: expr -42 '>' -42        , output: '0'     , status:  1
test: expr -42 '>' 5          , output: '0'     , status:  1
test: expr 5 '>' 0            , output: '1'     , status:  0
test: expr 5 '>' ''           , output: '1'     , status:  0
test: expr 5 '>' abcd         , output: '0'     , status:  1
test: expr 5 '>' bcde         , output: '0'     , status:  1
test: expr 5 '>' 42           , output: '0'     , status:  1
test: expr 5 '>' -42          , output: '1'     , status:  0
test: expr 5 '>' 5            , output: '0'     , status:  1

++++ Test < operator ++++
test: expr 0 '<' 0            , output: '0'     , status:  1
test: expr 0 '<' ''           , output: '0'     , status:  1
test: expr 0 '<' abcd         , output: '1'     , status:  0
test: expr 0 '<' bcde         , output: '1'     , status:  0
test: expr 0 '<' 42           , output: '1'     , status:  0
test: expr 0 '<' -42          , output: '0'     , status:  1
test: expr 0 '<' 5            , output: '1'     , status:  0
test: expr '' '<' 0           , output: '1'     , status:  0
test: expr '' '<' ''          , output: '0'     , status:  1
test: expr '' '<' abcd        , output: '1'     , status:  0
test: expr '' '<' bcde        , output: '1'     , status:  0
test: expr '' '<' 42          , output: '1'     , status:  0
test: expr '' '<' -42         , output: '1'     , status:  0
test: expr '' '<' 5           , output: '1'     , status:  0
test: expr abcd '<' 0         , output: '0'     , status:  1
test: expr abcd '<' ''        , output: '0'     , status:  1
test: expr abcd '<' abcd      , output: '0'     , status:  1
test: expr abcd '<' bcde      , output: '1'     , status:  0
test: expr abcd '<' 42        , output: '0'     , status:  1
test: expr abcd '<' -42       , output: '0'     , status:  1
test: expr abcd '<' 5         , output: '0'     , status:  1
test: expr bcde '<' 0         , output: '0'     , status:  1
test: expr bcde '<' ''        , output: '0'     , status:  1
test: expr bcde '<' abcd      , output: '0'     , status:  1
test: expr bcde '<' bcde      , output: '0'     , status:  1
test: expr bcde '<' 42        , output: '0'     , status:  1
test: expr bcde '<' -42       , output: '0'     , status:  1
test: expr bcde '<' 5         , output: '0'     , status:  1
test: expr 42 '<' 0           , output: '0'     , status:  1
test: expr 42 '<' ''          , output: '0'     , status:  1
test: expr 42 '<' abcd        , output: '1'     , status:  0
test: expr 42 '<' bcde        , output: '1'     , status:  0
test: expr 42 '<' 42          , output: '0'     , status:  1
test: expr 42 '<' -42         , output: '0'     , status:  1
test: expr 42 '<' 5           , output: '0'     , status:  1
test: expr -42 '<' 0          , output: '1'     , status:  0
test: expr -42 '<' ''         , output: '0'     , status:  1
test: expr -42 '<' abcd       , output: '1'     , status:  0
test: expr -42 '<' bcde       , output: '1'     , status:  0
test: expr -42 '<' 42         , output: '1'     , status:  0
test: expr -42 '<' -42        , output: '0'     , status:  1
test: expr -42 '<' 5          , output: '1'     , status:  0
test: expr 5 '<' 0            , output: '0'     , status:  1
test: expr 5 '<' ''           , output: '0'     , status:  1
test: expr 5 '<' abcd         , output: '1'     , status:  0
test: expr 5 '<' bcde         , output: '1'     , status:  0
test: expr 5 '<' 42           , output: '1'     , status:  0
test: expr 5 '<' -42          , output: '0'     , status:  1
test: expr 5 '<' 5            , output: '0'     , status:  1

++++ Test <= operator ++++
test: expr 0 '<=' 0           , output: '1'     , status:  0
test: expr 0 '<=' ''          , output: '0'     , status:  1
test: expr 0 '<=' abcd        , output: '1'     , status:  0
test: expr 0 '<=' bcde        , output: '1'     , status:  0
test: expr 0 '<=' 42          , output: '1'     , status:  0
test: expr 0 '<=' -42         , output: '0'     , status:  1
test: expr 0 '<=' 5           , output: '1'     , status:  0
test: expr '' '<=' 0          , output: '1'     , status:  0
test: expr '' '<=' ''         , output: '1'     , status:  0
test: expr '' '<=' abcd       , output: '1'     , status:  0
test: expr '' '<=' bcde       , output: '1'     , status:  0
test: expr '' '<=' 42         , output: '1'     , status:  0
test: expr '' '<=' -42        , output: '1'     , status:  0
test: expr '' '<=' 5          , output: '1'     , status:  0
test: expr abcd '<=' 0        , output: '0'     , status:  1
test: expr abcd '<=' ''       , output: '0'     , status:  1
test: expr abcd '<=' abcd     , output: '1'     , status:  0
test: expr abcd '<=' bcde     , output: '1'     , status:  0
test: expr abcd '<=' 42       , output: '0'     , status:  1
test: expr abcd '<=' -42      , output: '0'     , status:  1
test: expr abcd '<=' 5        , output: '0'     , status:  1
test: expr bcde '<=' 0        , output: '0'     , status:  1
test: expr bcde '<=' ''       , output: '0'     , status:  1
test: expr bcde '<=' abcd     , output: '0'     , status:  1
test: expr bcde '<=' bcde     , output: '1'     , status:  0
test: expr bcde '<=' 42       , output: '0'     , status:  1
test: expr bcde '<=' -42      , output: '0'     , status:  1
test: expr bcde '<=' 5        , output: '0'     , status:  1
test: expr 42 '<=' 0          , output: '0'     , status:  1
test: expr 42 '<=' ''         , output: '0'     , status:  1
test: expr 42 '<=' abcd       , output: '1'     , status:  0
test: expr 42 '<=' bcde       , output: '1'     , status:  0
test: expr 42 '<=' 42         , output: '1'     , status:  0
test: expr 42 '<=' -42        , output: '0'     , status:  1
test: expr 42 '<=' 5          , output: '0'     , status:  1
test: expr -42 '<=' 0         , output: '1'     , status:  0
test: expr -42 '<=' ''        , output: '0'     , status:  1
test: expr -42 '<=' abcd      , output: '1'     , status:  0
test: expr -42 '<=' bcde      , output: '1'     , status:  0
test: expr -42 '<=' 42        , output: '1'     , status:  0
test: expr -42 '<=' -42       , output: '1'     , status:  0
test: expr -42 '<=' 5         , output: '1'     , status:  0
test: expr 5 '<=' 0           , output: '0'     , status:  1
test: expr 5 '<=' ''          , output: '0'     , status:  1
test: expr 5 '<=' abcd        , output: '1'     , status:  0
test: expr 5 '<=' bcde        , output: '1'     , status:  0
test: expr 5 '<=' 42          , output: '1'     , status:  0
test: expr 5 '<=' -42         , output: '0'     , status:  1
test: expr 5 '<=' 5           , output: '1'     , status:  0

++++ Test != operator ++++
test: expr 0 '!=' 0           , output: '0'     , status:  1
test: expr 0 '!=' ''          , output: '1'     , status:  0
test: expr 0 '!=' abcd        , output: '1'     , status:  0
test: expr 0 '!=' bcde        , output: '1'     , status:  0
test: expr 0 '!=' 42          , output: '1'     , status:  0
test: expr 0 '!=' -42         , output: '1'     , status:  0
test: expr 0 '!=' 5           , output: '1'     , status:  0
test: expr '' '!=' 0          , output: '1'     , status:  0
test: expr '' '!=' ''         , output: '0'     , status:  1
test: expr '' '!=' abcd       , output: '1'     , status:  0
test: expr '' '!=' bcde       , output: '1'     , status:  0
test: expr '' '!=' 42         , output: '1'     , status:  0
test: expr '' '!=' -42        , output: '1'     , status:  0
test: expr '' '!=' 5          , output: '1'     , status:  0
test: expr abcd '!=' 0        , output: '1'     , status:  0
test: expr abcd '!=' ''       , output: '1'     , status:  0
test: expr abcd '!=' abcd     , output: '0'     , status:  1
test: expr abcd '!=' bcde     , output: '1'     , status:  0
test: expr abcd '!=' 42       , output: '1'     , status:  0
test: expr abcd '!=' -42      , output: '1'     , status:  0
test: expr abcd '!=' 5        , output: '1'     , status:  0
test: expr bcde '!=' 0        , output: '1'     , status:  0
test: expr bcde '!=' ''       , output: '1'     , status:  0
test: expr bcde '!=' abcd     , output: '1'     , status:  0
test: expr bcde '!=' bcde     , output: '0'     , status:  1
test: expr bcde '!=' 42       , output: '1'     , status:  0
test: expr bcde '!=' -42      , output: '1'     , status:  0
test: expr bcde '!=' 5        , output: '1'     , status:  0
test: expr 42 '!=' 0          , output: '1'     , status:  0
test: expr 42 '!=' ''         , output: '1'     , status:  0
test: expr 42 '!=' abcd       , output: '1'     , status:  0
test: expr 42 '!=' bcde       , output: '1'     , status:  0
test: expr 42 '!=' 42         , output: '0'     , status:  1
test: expr 42 '!=' -42        , output: '1'     , status:  0
test: expr 42 '!=' 5          , output: '1'     , status:  0
test: expr -42 '!=' 0         , output: '1'     , status:  0
test: expr -42 '!=' ''        , output: '1'     , status:  0
test: expr -42 '!=' abcd      , output: '1'     , status:  0
test: expr -42 '!=' bcde      , output: '1'     , status:  0
test: expr -42 '!=' 42        , output: '1'     , status:  0
test: expr -42 '!=' -42       , output: '0'     , status:  1
test: expr -42 '!=' 5         , output: '1'     , status:  0
test: expr 5 '!=' 0           , output: '1'     , status:  0
test: expr 5 '!=' ''          , output: '1'     , status:  0
test: expr 5 '!=' abcd        , output: '1'     , status:  0
test: expr 5 '!=' bcde        , output: '1'     , status:  0
test: expr 5 '!=' 42          , output: '1'     , status:  0
test: expr 5 '!=' -42         , output: '1'     , status:  0
test: expr 5 '!=' 5           , output: '0'     , status:  1

++++ Test + operator ++++
test: expr 0 '+' 0            , output: '0'     , status:  1
test: expr 0 '+' ''           , output: ''      , status:  2
test: expr 0 '+' abcd         , output: ''      , status:  2
test: expr 0 '+' bcde         , output: ''      , status:  2
test: expr 0 '+' 42           , output: '42'    , status:  0
test: expr 0 '+' -42          , output: '-42'   , status:  0
test: expr 0 '+' 5            , output: '5'     , status:  0
test: expr '' '+' 0           , output: ''      , status:  2
test: expr '' '+' ''          , output: ''      , status:  2
test: expr '' '+' abcd        , output: ''      , status:  2
test: expr '' '+' bcde        , output: ''      , status:  2
test: expr '' '+' 42          , output: ''      , status:  2
test: expr '' '+' -42         , output: ''      , status:  2
test: expr '' '+' 5           , output: ''      , status:  2
test: expr abcd '+' 0         , output: ''      , status:  2
test: expr abcd '+' ''        , output: ''      , status:  2
test: expr abcd '+' abcd      , output: ''      , status:  2
test: expr abcd '+' bcde      , output: ''      , status:  2
test: expr abcd '+' 42        , output: ''      , status:  2
test: expr abcd '+' -42       , output: ''      , status:  2
test: expr abcd '+' 5         , output: ''      , status:  2
test: expr bcde '+' 0         , output: ''      , status:  2
test: expr bcde '+' ''        , output: ''      , status:  2
test: expr bcde '+' abcd      , output: ''      , status:  2
test: expr bcde '+' bcde      , output: ''      , status:  2
test: expr bcde '+' 42        , output: ''      , status:  2
test: expr bcde '+' -42       , output: ''      , status:  2
test: expr bcde '+' 5         , output: ''      , status:  2
test: expr 42 '+' 0           , output: '42'    , status:  0
test: expr 42 '+' ''          , output: ''      , status:  2
test: expr 42 '+' abcd        , output: ''      , status:  2
test: expr 42 '+' bcde        , output: ''      , status:  2
test: expr 42 '+' 42          , output: '84'    , status:  0
test: expr 42 '+' -42         , output: '0'     , status:  1
test: expr 42 '+' 5           , output: '47'    , status:  0
test: expr -42 '+' 0          , output: '-42'   , status:  0
test: expr -42 '+' ''         , output: ''      , status:  2
test: expr -42 '+' abcd       , output: ''      , status:  2
test: expr -42 '+' bcde       , output: ''      , status:  2
test: expr -42 '+' 42         , output: '0'     , status:  1
test: expr -42 '+' -42        , output: '-84'   , status:  0
test: expr -42 '+' 5          , output: '-37'   , status:  0
test: expr 5 '+' 0            , output: '5'     , status:  0
test: expr 5 '+' ''           , output: ''      , status:  2
test: expr 5 '+' abcd         , output: ''      , status:  2
test: expr 5 '+' bcde         , output: ''      , status:  2
test: expr 5 '+' 42           , output: '47'    , status:  0
test: expr 5 '+' -42          , output: '-37'   , status:  0
test: expr 5 '+' 5            , output: '10'    , status:  0

++++ Test - operator ++++
test: expr 0 '-' 0            , output: '0'     , status:  1
test: expr 0 '-' ''           , output: ''      , status:  2
test: expr 0 '-' abcd         , output: ''      , status:  2
test: expr 0 '-' bcde         , output: ''      , status:  2
test: expr 0 '-' 42           , output: '-42'   , status:  0
test: expr 0 '-' -42          , output: '42'    , status:  0
test: expr 0 '-' 5            , output: '-5'    , status:  0
test: expr '' '-' 0           , output: ''      , status:  2
test: expr '' '-' ''          , output: ''      , status:  2
test: expr '' '-' abcd        , output: ''      , status:  2
test: expr '' '-' bcde        , output: ''      , status:  2
test: expr '' '-' 42          , output: ''      , status:  2
test: expr '' '-' -42         , output: ''      , status:  2
test: expr '' '-' 5           , output: ''      , status:  2
test: expr abcd '-' 0         , output: ''      , status:  2
test: expr abcd '-' ''        , output: ''      , status:  2
test: expr abcd '-' abcd      , output: ''      , status:  2
test: expr abcd '-' bcde      , output: ''      , status:  2
test: expr abcd '-' 42        , output: ''      , status:  2
test: expr abcd '-' -42       , output: ''      , status:  2
test: expr abcd '-' 5         , output: ''      , status:  2
test: expr bcde '-' 0         , output: ''      , status:  2
test: expr bcde '-' ''        , output: ''      , status:  2
test: expr bcde '-' abcd      , output: ''      , status:  2
test: expr bcde '-' bcde      , output: ''      , status:  2
test: expr bcde '-' 42        , output: ''      , status:  2
test: expr bcde '-' -42       , output: ''      , status:  2
test: expr bcde '-' 5         , output: ''      , status:  2
test: expr 42 '-' 0           , output: '42'    , status:  0
test: expr 42 '-' ''          , output: ''      , status:  2
test: expr 42 '-' abcd        , output: ''      , status:  2
test: expr 42 '-' bcde        , output: ''      , status:  2
test: expr 42 '-' 42          , output: '0'     , status:  1
test: expr 42 '-' -42         , output: '84'    , status:  0
test: expr 42 '-' 5           , output: '37'    , status:  0
test: expr -42 '-' 0          , output: '-42'   , status:  0
test: expr -42 '-' ''         , output: ''      , status:  2
test: expr -42 '-' abcd       , output: ''      , status:  2
test: expr -42 '-' bcde       , output: ''      , status:  2
test: expr -42 '-' 42         , output: '-84'   , status:  0
test: expr -42 '-' -42        , output: '0'     , status:  1
test: expr -42 '-' 5          , output: '-47'   , status:  0
test: expr 5 '-' 0            , output: '5'     , status:  0
test: expr 5 '-' ''           , output: ''      , status:  2
test: expr 5 '-' abcd         , output: ''      , status:  2
test: expr 5 '-' bcde         , output: ''      , status:  2
test: expr 5 '-' 42           , output: '-37'   , status:  0
test: expr 5 '-' -42          , output: '47'    , status:  0
test: expr 5 '-' 5            , output: '0'     , status:  1

++++ Test * operator ++++
test: expr 0 '*' 0            , output: '0'     , status:  1
test: expr 0 '*' ''           , output: ''      , status:  2
test: expr 0 '*' abcd         , output: ''      , status:  2
test: expr 0 '*' bcde         , output: ''      , status:  2
test: expr 0 '*' 42           , output: '0'     , status:  1
test: expr 0 '*' -42          , output: '0'     , status:  1
test: expr 0 '*' 5            , output: '0'     , status:  1
test: expr '' '*' 0           , output: ''      , status:  2
test: expr '' '*' ''          , output: ''      , status:  2
test: expr '' '*' abcd        , output: ''      , status:  2
test: expr '' '*' bcde        , output: ''      , status:  2
test: expr '' '*' 42          , output: ''      , status:  2
test: expr '' '*' -42         , output: ''      , status:  2
test: expr '' '*' 5           , output: ''      , status:  2
test: expr abcd '*' 0         , output: ''      , status:  2
test: expr abcd '*' ''        , output: ''      , status:  2
test: expr abcd '*' abcd      , output: ''      , status:  2
test: expr abcd '*' bcde      , output: ''      , status:  2
test: expr abcd '*' 42        , output: ''      , status:  2
test: expr abcd '*' -42       , output: ''      , status:  2
test: expr abcd '*' 5         , output: ''      , status:  2
test: expr bcde '*' 0         , output: ''      , status:  2
test: expr bcde '*' ''        , output: ''      , status:  2
test: expr bcde '*' abcd      , output: ''      , status:  2
test: expr bcde '*' bcde      , output: ''      , status:  2
test: expr bcde '*' 42        , output: ''      , status:  2
test: expr bcde '*' -42       , output: ''      , status:  2
test: expr bcde '*' 5         , output: ''      , status:  2
test: expr 42 '*' 0           , output: '0'     , status:  1
test: expr 42 '*' ''          , output: ''      , status:  2
test: expr 42 '*' abcd        , output: ''      , status:  2
test: expr 42 '*' bcde        , output: ''      , status:  2
test: expr 42 '*' 42          , output: '1764'  , status:  0
test: expr 42 '*' -42         , output: '-1764' , status:  0
test: expr 42 '*' 5           , output: '210'   , status:  0
test: expr -42 '*' 0          , output: '0'     , status:  1
test: expr -42 '*' ''         , output: ''      , status:  2
test: expr -42 '*' abcd       , output: ''      , status:  2
test: expr -42 '*' bcde       , output: ''      , status:  2
test: expr -42 '*' 42         , output: '-1764' , status:  0
test: expr -42 '*' -42        , output: '1764'  , status:  0
test: expr -42 '*' 5          , output: '-210'  , status:  0
test: expr 5 '*' 0            , output: '0'     , status:  1
test: expr 5 '*' ''           , output: ''      , status:  2
test: expr 5 '*' abcd         , output: ''      , status:  2
test: expr 5 '*' bcde         , output: ''      , status:  2
test: expr 5 '*' 42           , output: '210'   , status:  0
test: expr 5 '*' -42          , output: '-210'  , status:  0
test: expr 5 '*' 5            , output: '25'    , status:  0

++++ Test / operator ++++
test: expr 0 '/' 0            , output: ''      , status:  2
test: expr 0 '/' ''           , output: ''      , status:  2
test: expr 0 '/' abcd         , output: ''      , status:  2
test: expr 0 '/' bcde         , output: ''      , status:  2
test: expr 0 '/' 42           , output: '0'     , status:  1
test: expr 0 '/' -42          , output: '0'     , status:  1
test: expr 0 '/' 5            , output: '0'     , status:  1
test: expr '' '/' 0           , output: ''      , status:  2
test: expr '' '/' ''          , output: ''      , status:  2
test: expr '' '/' abcd        , output: ''      , status:  2
test: expr '' '/' bcde        , output: ''      , status:  2
test: expr '' '/' 42          , output: ''      , status:  2
test: expr '' '/' -42         , output: ''      , status:  2
test: expr '' '/' 5           , output: ''      , status:  2
test: expr abcd '/' 0         , output: ''      , status:  2
test: expr abcd '/' ''        , output: ''      , status:  2
test: expr abcd '/' abcd      , output: ''      , status:  2
test: expr abcd '/' bcde      , output: ''      , status:  2
test: expr abcd '/' 42        , output: ''      , status:  2
test: expr abcd '/' -42       , output: ''      , status:  2
test: expr abcd '/' 5         , output: ''      , status:  2
test: expr bcde '/' 0         , output: ''      , status:  2
test: expr bcde '/' ''        , output: ''      , status:  2
test: expr bcde '/' abcd      , output: ''      , status:  2
test: expr bcde '/' bcde      , output: ''      , status:  2
test: expr bcde '/' 42        , output: ''      , status:  2
test: expr bcde '/' -42       , output: ''      , status:  2
test: expr bcde '/' 5         , output: ''      , status:  2
test: expr 42 '/' 0           , output: ''      , status:  2
test: expr 42 '/' ''          , output: ''      , status:  2
test: expr 42 '/' abcd        , output: ''      , status:  2
test: expr 42 '/' bcde        , output: ''      , status:  2
test: expr 42 '/' 42          , output: '1'     , status:  0
test: expr 42 '/' -42         , output: '-1'    , status:  0
test: expr 42 '/' 5           , output: '8'     , status:  0
test: expr -42 '/' 0          , output: ''      , status:  2
test: expr -42 '/' ''         , output: ''      , status:  2
test: expr -42 '/' abcd       , output: ''      , status:  2
test: expr -42 '/' bcde       , output: ''      , status:  2
test: expr -42 '/' 42         , output: '-1'    , status:  0
test: expr -42 '/' -42        , output: '1'     , status:  0
test: expr -42 '/' 5          , output: '-8'    , status:  0
test: expr 5 '/' 0            , output: ''      , status:  2
test: expr 5 '/' ''           , output: ''      , status:  2
test: expr 5 '/' abcd         , output: ''      , status:  2
test: expr 5 '/' bcde         , output: ''      , status:  2
test: expr 5 '/' 42           , output: '0'     , status:  1
test: expr 5 '/' -42          , output: '0'     , status:  1
test: expr 5 '/' 5            , output: '1'     , status:  0

++++ Test % operator ++++
test: expr 0 '%' 0            , output: ''      , status:  2
test: expr 0 '%' ''           , output: ''      , status:  2
test: expr 0 '%' abcd         , output: ''      , status:  2
test: expr 0 '%' bcde         , output: ''      , status:  2
test: expr 0 '%' 42           , output: '0'     , status:  1
test: expr 0 '%' -42          , output: '0'     , status:  1
test: expr 0 '%' 5            , output: '0'     , status:  1
test: expr '' '%' 0           , output: ''      , status:  2
test: expr '' '%' ''          , output: ''      , status:  2
test: expr '' '%' abcd        , output: ''      , status:  2
test: expr '' '%' bcde        , output: ''      , status:  2
test: expr '' '%' 42          , output: ''      , status:  2
test: expr '' '%' -42         , output: ''      , status:  2
test: expr '' '%' 5           , output: ''      , status:  2
test: expr abcd '%' 0         , output: ''      , status:  2
test: expr abcd '%' ''        , output: ''      , status:  2
test: expr abcd '%' abcd      , output: ''      , status:  2
test: expr abcd '%' bcde      , output: ''      , status:  2
test: expr abcd '%' 42        , output: ''      , status:  2
test: expr abcd '%' -42       , output: ''      , status:  2
test: expr abcd '%' 5         , output: ''      , status:  2
test: expr bcde '%' 0         , output: ''      , status:  2
test: expr bcde '%' ''        , output: ''      , status:  2
test: expr bcde '%' abcd      , output: ''      , status:  2
test: expr bcde '%' bcde      , output: ''      , status:  2
test: expr bcde '%' 42        , output: ''      , status:  2
test: expr bcde '%' -42       , output: ''      , status:  2
test: expr bcde '%' 5         , output: ''      , status:  2
test: expr 42 '%' 0           , output: ''      , status:  2
test: expr 42 '%' ''          , output: ''      , status:  2
test: expr 42 '%' abcd        , output: ''      , status:  2
test: expr 42 '%' bcde        , output: ''      , status:  2
test: expr 42 '%' 42          , output: '0'     , status:  1
